编号,标题,接收信箱,询问日期,回复日期,询问内容,回复内容,情感值
1133,深圳市独生子女父母计划生育奖励办法申请咨询,深圳市卫生和计划生育委员会,2017.04.05,2017.04.11,"一、根据《深圳市独生子女父母计划生育奖励办法》第二条奖励标准中规定：“已享受退休金加发5%或者退休时领取一次性计划生育奖励金的（含在原户籍地领取的），自2016年1月1日起计发。” 二、关于对《深圳市独生子女父母计划生育奖励办法》的解读中第二点《办法》的主要内容中：“二是将已兑现一次性奖励和已按退休金加发5%的人群纳入奖励范围。” 我实际去社区申请时，因为父母在原户籍地退休，且属于已按退休金加发5%的人群，社区说深圳市申请原户籍地就要停发。仔细研读两个文件中均无此要求。且退休金本身也是按月发放退休金的，为何说按月退休金加发5%的人群就必须原户籍地停发呢？请指出明确要求原户籍地停发的对应条款。
		","您好，我是深圳市卫生计生委的工作人员。您的信访件已收到，给您打电话您挂断了，只能通过短信给您答复。根据您的情况，您可以让父母直接到户籍地社区工作站填写申请表并提交资料，审核通过后从2006年1月1日起按月领取独生子女父母计划生育奖励金即可（如户籍是2016年1月1日之后迁入我市，发放时间按照迁入我市时间起算）。退休金加发5%不需要停掉！如在办理过程中遇到问题请致88113709。
		
		",8.110291081131482e-05
24071,关于查环查孕报告单的办理,深圳市卫生和计划生育委员会,2014.07.18,2014.07.21,"领导您好！我积分入户需办理《计划生育证明》，因为妻子不在深圳，按规定需提供“户籍地县级以上医院出具的查环查孕证明”，但是户籍地医院只会出具一份B超检查单且不给盖章。请问：提供由户籍地县级计划生育服务站出具的《查环查孕报告》是否可行？谢谢！
		","您好，你来信所咨询的问题，《查环查孕报告》是否能代替《查环查孕证明》请向积分入户的主管单位深圳市人力资源和社会保障局咨询。谢谢您的来信。
		
		",8.262463882546811e-05
6925,父母双发非深户在深圳生育一孩需要办理哪些证件及流程,深圳市卫生和计划生育委员会,2016.10.31,2016.10.31,"父母双发非深户在深圳生育一孩需要办理哪些证件及流程，哪些证件需要回户籍地办理，哪些证件可在现居住地办理，谢谢！
		","2016年1月1日之后（含1月1日），已怀孕或已生育第一个、第二个子女的人员（男、女双方总计生育子女个数）可申请生育登记或补办生育登记。夫妻双方可在其中一方的户籍地或女方现居住地办理机构办理生育登记；未办理结婚登记生育第一个、第二个子女的办事人员，可在本人户籍地或女方现居住地街道计生部门或社区工作站办理生育登记。办理生育登记的人员，应提供身份证或户口簿、结婚证、离婚证及离婚协议（法院判决书）原件及复印件，到办理部门填写《广东省生育登记表》。办理部门查验原件，留存复印件。
",8.299142298928697e-05
1611,废止《深圳经济特区人口与计划生育条例》相关,深圳市卫生和计划生育委员会,2017.03.30,2017.03.31,"自3月21日起，15天晚育假取消；想请问在3月21日前已经在休产假的，是否还能享受15天晚育假呢？
		","深圳经济特区人口与计划生育条例》废止后，15天的晚育假是否可以继续执行？答:2017年3月21日，《深圳经济特区人口与计划生育条例》经深圳市六届人大常委会第十五次会议审议批准后，被正式废止。《条例》废止后，“已婚妇女23周岁后怀孕生育第一个子女的可享受15天晚育假”的规定也不再执行。具体来讲，3月21日之前已经在休产假的，继续享受15天的晚育假；3月21日之后再申请休产假的，不再享受15天的晚育假。
",8.505844736828028e-05
23001,请求帮助,深圳市卫生和计划生育委员会,2014.11.13,2014.11.18,"尊敬的卫计委领导，我想向深圳市新安医院投递求职简历，并询问相关事项，但是在网上查不到贵院的相关电话，能否帮我查一下电话告知我，感谢。
		","你好，经查我委查不到你所说新安医院的任何执业机构注册信息，你亦可下载卫生监督管理局app自行查询，谢谢你的来信。
		
		",9.985337912632453e-05
4461,关于外地户口在深圳已孕三个月办理的证件咨询,深圳市卫生和计划生育委员会,2017.01.19,2017.01.22,"领导您好！ 我在深圳已工作三年正常缴纳社保但是居住证过期后未办理居住证，现在已孕三个月，需要去医院检查，需要办理计划生育证明，这个需要什么资料？网上查询说法不一，想得到答复，十分感谢！
		","我委工作人员已于2017年1月20日短信回复信访人:2016年1月1日之后（含1月1日），已怀孕或已生育第一个、第二个子女的人员（男、女双方总计生育子女个数）可在其中一方的户籍地或女方现居住地街道计生部门或社区工作站办理生育登记。办理生育登记的人员，应提供身份证或户口簿、结婚证、离婚证及离婚协议（法院判决书）原件及复印件，到办理部门填写《广东省生育登记表》。办理部门查验原件，留存复印件。同时开具孕检所用《计划生育证明》。
",0.00011617326668256212
23303,市内变更注册,深圳市卫生和计划生育委员会,2014.10.19,2014.10.21,"你好，执业医师市内变更执业地点，从光明新区A医院变到龙岗区B医院。请问在原单位A医院签字同意变更并盖章后，需到原单位所属地光明新区卫生局再签字盖章吗？
		","你好，是需要到你原单位上级卫生行政主管部门签字盖章的，若还有疑问请致电政府热线12345，谢谢你的来信，祝你身体健康！
",0.00013461462788155742
7511,广东省新条例产假天数,深圳市卫生和计划生育委员会,2016.10.09,2016.10.09,"依据9月29日广东省的新条例，产假奖励由30天转为80天。想问现在深圳的产假能修多少天？
		","2016年1月1日后生育的，计生方面的假期为符合法律、法规规定生育子女的夫妻，符合法律、法规规定生育子女的夫妻，女方享受八十日的奖励假，男方享受十五日的陪产假。符合现《深圳经济特区人口计划生育条例》晚育条件生育的，还有15日晚育假。2016年9月29日后依法生育，以及在此前依法生育且法定生育假期尚未休完的，均可按新条例规定享受80日的奖励假。难产的可再增加30日产假，生育多胞胎的每多生育一个子女增加15日产假。在规定假期内照发工资，不影响福利待遇和全勤评奖。假期从开始之日算起至结束之日，包括周末及法定节假日。若不执行可向劳动部门提出或直接向法院提出申诉维权。
",0.00015588307944325308
25441,深圳户口单亲妈妈如何给小孩上户口,深圳市卫生和计划生育委员会,2013.09.07,2013.09.13,"您好, 婚后半年因个性不合双方协议离婚,后发现怀有小孩(一个月左右),现想要将小孩生下来,并得到前夫的同意(他为外地户口,双方已不会再复婚);请问在这种情况下,深圳户口的妈妈是否能给小孩上深圳户口?要准备什么资料?是否要交罚款?
		","你好！你咨询的问题我委工作人员已答复予你，谢谢你的来信，祝你生活愉快！
",0.00018656082754486825
9718,婚育证明和计生证办理,深圳市卫生和计划生育委员会,2016.07.12,2016.07.12,"我是江西户籍老婆是深户，刚怀上二孩，准备办生育登记和生育险。去问了布吉国展苑社区工作站，其中一项是要男方回户籍地办婚育证明。我问了我现居住的民强社区工作站也说要回户籍地办，我说电子婚育证明不可用吗，工作人员说不可以，但也帮我查了下说网上没有我的电子婚育证明。国家和深圳市政策不是说不用回户籍地办了吗？怎么还是使劲折腾人呢
		","你好，流动人口办理电子《流动人口婚育证明》事项,市民可携带身份证到现居住地打印《流动人口婚育证明》电子证明，基层工作人员根据身份证信息登录全员人口信息系统进行查询，信息能查询到并与现居住地掌握的情况一致的，打印输出电子婚育证明，并加盖街道公章；查询不到的，需要回户籍地街道计生工作机构出具。
		
		",0.00018656552501261636
