　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　E.T. 外星人　　　　　　	   8.5    	  137466  	生病的E.T.皮肤的颜色就像柿子饼。
　　　　　　　被解救的姜戈　　　　　　　	   8.5    	  236199  	热血沸腾，那个低俗、性感的无耻混蛋又来了。
　　　　　　　　爆裂鼓手　　　　　　　　	   8.6    	  204549  	无　　　　　　　　　
　　　　　牯岭街少年杀人事件　　　　　　	   8.7    	  90355   	弱者送给弱者的一刀。
　　　　　　　　末路狂花　　　　　　　　	   8.7    	  91434   	没有了退路，只好飞向自由。
　　　　　　　　穆赫兰道　　　　　　　　	   8.3    	  209187  	大卫·林奇的梦境迷宫。
　　　　　　　　发条橙　　　　　　　　　	   8.4    	  168815  	我完全康复了。　　　
　　　　　　　　哪吒闹海　　　　　　　　	   8.8    	  69982   	想你时你在闹海。　　
　　　　　　　忠犬八公物语　　　　　　　	   9.0    	  47473   	养狗三日，便会对你终其一生。
　　　　　　　　源代码　　　　　　　　　	   8.3    	  372556  	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
　　　　　黑客帝国3：矩阵革命　　　　　	   8.5    	  137662  	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
　　　　　　　非常嫌疑犯　　　　　　　　	   8.6    	  103404  	我不信仰上帝，但我敬畏上帝。
　　　　　　　　美国丽人　　　　　　　　	   8.4    	  166779  	每个人的内心都是深不可测的大海。 
　　　　　　　　　青蛇　　　　　　　　　	   8.4    	  193661  	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
　　　　　　　新龙门客栈　　　　　　　　	   8.4    	  163213  	嬉笑怒骂，调风动月。
　　　　　　　黄金三镖客　　　　　　　　	   9.1    	  44696   	最棒的西部片。　　　
　　　　　　　上帝也疯狂　　　　　　　　	   8.6    	  86976   	纯净原始的笑与感动。
　　　　　　　　爱·回家　　　　　　　　	   9.0    	  42582   	献给所有外婆的电影。
　　　　　　　　无耻混蛋　　　　　　　　	   8.4    	  201879  	昆汀同学越来越变态了，比北野武还杜琪峰。
　　　　　　　　城市之光　　　　　　　　	   9.2    	  36809   	永远的小人物，伟大的卓别林。
　　　　　　　　　勇士　　　　　　　　　	   8.9    	  79035   	热血沸腾，相当完美的娱乐拳击大餐。
　　　　　　　初恋这件小事　　　　　　　	   8.2    	  413356  	黑小鸭速效美白记。　
　　　　　　　　　曾经　　　　　　　　　	   8.3    	  187684  	有些幸福无关爱情。　
　　　　　　　　蓝色大门　　　　　　　　	   8.2    	  251812  	青春的窃窃私语。 　
　　　　　　　　麦兜故事　　　　　　　　	   8.5    	  116518  	麦兜是一只很哲学的猪。 
　　　　　　　　　蝴蝶　　　　　　　　　	   8.6    	  88796   	我们长途跋涉寻找的东西，有可能一直就在身边。 
　　　　　　　暖暖内含光　　　　　　　　	   8.4    	  131153  	恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
　　　　　　　无敌破坏王　　　　　　　　	   8.6    	  168407  	迪士尼和皮克斯拿错剧本的产物。
　　　　　　　　与狼共舞　　　　　　　　	   8.9    	  51710   	充满诗意与情怀的史诗作品。 
　　　　　　　巴黎淘气帮　　　　　　　　	   8.6    	  97488   	四百击的反面。　　　
　　　　　　大卫·戈尔的一生　　　　　　	   8.7    	  75383   	捍卫人权只是信仰，一点不妨碍其行为的残忍。
　　　　　　　　遗愿清单　　　　　　　　	   8.5    	  111220  	用剩余不多的时间，去燃烧整个生命。
　　　　　　　国王的演讲　　　　　　　　	   8.3    	  306702  	皇上无话儿。　　　　
　　　　　　　　　血钻　　　　　　　　　	   8.5    	  114493  	每个美丽事物背后都是滴血的现实。
　　　　　　　夜访吸血鬼　　　　　　　　	   8.3    	  180852  	弥漫淡淡血腥气的优雅。
　　　　　　　　偷拐抢骗　　　　　　　　	   8.5    	  104887  	典型盖·里奇式的英国黑色幽默黑帮片。
